label,0,1,2,3,4,5,6,7,8,9,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,92.9,0.0,0.0,0.6,0.0,1.3,0.0,0.0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0
e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,94.8,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.0,90.2,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,1.2,1.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2.9,0.0
h,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.0,84.5,0.0,0.6,0.0,1.2,0.6,3.1,0.6,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.9
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.1,0.0,91.5,0.0,0.0,0.0,0.0,2.1,0.0,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
j,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
k,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,0.0,6.9,0.0,0.0,2.3,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1
l,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,92.7,0.6,0.6,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,1.2
m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,3.3,0.7,86.1,0.7,0.0,0.7,1.3,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.0,0.0
n,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.6,0.0,0.6,0.0,0.6,84.8,0.0,2.4,1.2,1.8,0.0,0.0,0.6,0.0,0.6,0.0,1.2,0.0
o,7.4,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,80.9,0.0,1.5,0.0,0.0,0.0,0.7,3.7,0.0,0.7,0.7,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.7,0.0,0.0,2.1,0.7,87.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.7,1.4
q,0.0,0.0,0.0,0.0,1.1,0.0,0.6,0.0,0.0,1.7,0.6,0.0,0.0,0.0,1.1,0.0,0.6,0.0,1.1,0.0,0.0,0.6,0.0,1.1,0.0,0.6,86.2,0.6,0.6,0.0,1.7,0.0,1.1,0.0,0.6,0.0
r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.7,1.3,0.0,0.0,89.9,0.0,0.7,0.0,2.7,0.7,0.0,1.3,0.0
s,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.2,0.0,0.0,0.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.4,0.7,0.0,2.1,0.7,0.0,0.0,0.0,0.0,2.1,1.4,0.7,0.7,0.0,0.0,0.7,83.2,0.7,0.7,1.4,1.4,0.0
v,1.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,1.4,0.0,0.0,0.7,1.4,0.0,0.7,91.5,0.0,0.0,0.0,0.7
w,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.7,1.3,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,92.1,0.0,0.0,0.7
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,95.8,2.8,0.0
y,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,1.3,5.7,0.0,0.0,0.6,0.0,0.0,1.3,0.0,0.6,0.0,0.6,3.1,81.8,0.0
z,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7
